Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,1,1.611669196,1.679324813,1.753960296,1.834814863,1.91427755,2.011282131,2.087011594,2.079266311,1.968071402,1.798541797,1.608836392,1.47045769,1.438963233,1.546673215,1.750296759,1.954210222,2.125703626,2.313515734,2.512358872,2.699574299,2.916378073,3.08261224,3.077366993,2.86777646,2.541172574,2.163226653,1.871655546,1.765058004,1.903137882,2.197309532,2.525092196,2.765867515,2.894704298,2.875578887,2.757190552,2.620834571,2.513403742,2.418780432,2.34664723,2.289845843,2.216501186,2.129491567,2.057857877,2.007297035,1.963165759,1.954024747,1.922623931,1.779120362,1.49251562,1.126577396,0.723831391,0.401556668,0.259489943,0.364290952,0.647403919,0.985894486,1.277504136,1.519051537,1.674745212,1
Chad,TCD,Population growth (annual %),SP.POP.GROW,1,1.938669195,1.969390705,1.977475962,1.958074066,1.923852854,1.873898235,1.840388984,1.861468793,1.953608942,2.085654612,2.241269383,2.362281892,2.398851606,2.327728042,2.191919724,2.047374375,1.948549279,1.909691498,1.951058437,2.0518389,2.156673741,2.257364652,2.390757357,2.558639024,2.74250874,2.937205064,3.10647833,3.213717761,3.243884619,3.226474392,3.198650692,3.191444906,3.207136433,3.254410947,3.322598594,3.377755701,3.423270287,3.490769651,3.583490768,3.682718582,3.785852882,3.856233291,3.85716413,3.777276578,3.649829765,3.50814667,3.393016334,3.32337145,3.311623295,3.334642775,3.363545784,3.370758938,3.350985214,3.296945541,3.222050147,3.143959589,3.077531708,3.023579699,2.985937461,1
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,1,0.89073872,0.953779046,1.015844345,1.040792545,1.068341396,1.065652627,1.067185707,1.060128472,1.0440065,1.015893863,0.998325274,0.976323363,0.894750653,0.76435935,0.581523831,0.384498948,0.221185914,0.162625295,0.236786713,0.40640296,0.598771589,0.77000392,0.896118248,0.984093376,1.023092145,1.071158734,1.112466484,1.078528456,0.95602885,0.78360687,0.564264376,0.380283589,0.287602028,0.314079858,0.433740164,0.591345589,0.716586661,0.770892327,0.718921115,0.600005854,0.439605467,0.334122637,0.315019749,0.430874649,0.636258157,0.873035484,1.058376043,1.155383526,1.109317789,0.978895056,0.78820108,0.655001196,0.604134796,0.649269563,0.780009114,0.9256539,1.03818709,1.081493246,1.026972656,1
Chile,CHL,Population growth (annual %),SP.POP.GROW,1,2.078593642,2.062989698,2.02595968,1.96284456,1.883818421,1.799396102,1.724944216,1.669284284,1.638935957,1.626358738,1.618144651,1.605779096,1.5921687,1.575021081,1.555696503,1.541738102,1.530506119,1.511808035,1.483304035,1.450756396,1.41442678,1.388151593,1.387219056,1.418970911,1.471966331,1.526860813,1.571262647,1.606773859,1.629359011,1.639514769,1.6484197,1.650306531,1.627507353,1.575222485,1.502984484,1.425751282,1.353958013,1.286896556,1.228042821,1.177211428,1.126185835,1.078812927,1.048038262,1.037642801,1.042009582,1.055926534,1.068537508,1.071437972,1.059280301,1.03892916,0.997439115,0.963057457,0.978852117,1.061145126,1.177757471,1.325201606,1.425185044,1.391010541,1.182980431,1
China,CHN,Population growth (annual %),SP.POP.GROW,1,-1.015527787,0.820455549,2.457647404,2.320682987,2.381368103,2.787331838,2.57069762,2.610902626,2.740002106,2.761675566,2.74691555,2.45735693,2.283395364,2.065955013,1.766391782,1.547337973,1.362779476,1.338182338,1.333927954,1.254221052,1.280952344,1.47267476,1.444949695,1.312068761,1.361699118,1.487398929,1.603605087,1.610071086,1.533169996,1.467303211,1.364434008,1.225536228,1.149619431,1.130260632,1.086509151,1.048141514,1.023450024,0.959550406,0.865851393,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.479150454,0.487231118,0.493709634,0.506311592,0.508136747,0.541478512,0.559121331,0.455899679,0.357291063,1
Colombia,COL,Population growth (annual %),SP.POP.GROW,1,3.127173658,3.120250918,3.093657958,3.045639693,2.981541125,2.918219018,2.851978633,2.765139064,2.655250546,2.534680965,2.409805038,2.30216968,2.231456183,2.207293061,2.214703514,2.229661484,2.235987408,2.236430836,2.226251786,2.208221123,2.191788208,2.177132842,2.155711832,2.126166578,2.091633248,2.053076856,2.01708723,1.990330759,1.975713807,1.967956348,1.961633512,1.94850158,1.924009924,1.884887437,1.835615888,1.782274066,1.731089702,1.683637926,1.642050768,1.60375178,1.567264159,1.526919519,1.477721636,1.41717845,1.349744709,1.288737445,1.234496459,1.1761571,1.112485691,1.050652174,0.969133686,0.902010125,0.90829254,1.009872269,1.167245179,1.360060673,1.503387796,1.517270891,1.381702014,1
Comoros,COM,Population growth (annual %),SP.POP.GROW,1,1.566766203,1.563390278,1.596733876,1.673283705,1.785653158,1.935596664,2.068046794,2.143633101,2.130603133,2.077025953,1.975540794,1.937686053,2.057398873,2.385651019,2.832702204,3.311574805,3.671887978,3.816765937,3.702991726,3.430837614,3.126718689,2.898339876,2.760181379,2.749739682,2.817240469,2.891074565,2.934961355,2.95829801,2.96341494,2.949330295,2.939409627,2.923771588,2.896370786,2.853133191,2.797965538,2.745548333,2.690707259,2.640770438,2.578686179,2.522340022,2.464237891,2.415507265,2.382713421,2.374990806,2.382366955,2.39064349,2.396717366,2.403628365,2.408719056,2.412541877,2.417574078,2.419233782,2.406870493,2.383357478,2.347041066,2.310060155,2.274118744,2.239170611,2.205877437,1
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,1,2.521979358,2.547518768,2.588457847,2.649591495,2.719756185,2.794045003,2.851001004,2.870763377,2.84556831,2.793229995,2.726131094,2.673976043,2.658675605,2.691353241,2.750799268,2.827677911,2.881068746,2.874896083,2.794363252,2.673294857,2.552287702,2.472728289,2.446829229,2.48892593,2.581649674,2.650658615,2.716141911,2.861028022,3.098431817,3.370801299,3.676579976,3.893522906,3.892612009,3.635565801,3.234479176,2.800990199,2.471556494,2.306867985,2.356947156,2.550436336,2.769272496,2.936361326,3.068268818,3.145497838,3.184222392,3.21879547,3.261382602,3.293973839,3.31689666,3.331131654,3.337677422,3.337564776,3.331362952,3.319676665,3.30283221,3.282914628,3.258508351,3.2266989,3.187086302,1
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,1,2.41239737,2.473385777,2.530289071,2.584673966,2.634380473,2.680828999,2.722658812,2.767247789,2.812457074,2.856248288,2.897872996,2.930717058,2.950312387,2.953125002,2.945296098,2.930881422,2.917848139,2.910981486,2.910376914,2.914381109,2.920924638,2.920024328,2.905479182,2.872725315,2.829744803,2.786528056,2.752945883,2.732258235,2.727507505,2.734463971,2.744153098,2.7543867,2.76942147,2.791743601,2.816428164,2.849930936,2.88251703,2.899947445,2.897860235,2.886358372,2.853372225,2.832587302,2.874414339,2.994011755,3.149094483,3.321895971,3.437512885,3.432735093,3.283536842,3.049010156,2.794481941,2.590901936,2.465109065,2.440638958,2.483608177,2.539585634,2.570629914,2.5817013,2.562900803,1
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,1,3.717363895,3.70635185,3.645612022,3.528408696,3.377511027,3.22716246,3.091320916,2.959315667,2.831821901,2.716057365,2.601101746,2.504762159,2.456252159,2.465057632,2.511815442,2.568641515,2.615407768,2.654453602,2.67986007,2.693422417,2.70825013,2.72227252,2.723425063,2.708923828,2.684474194,2.651340081,2.620265155,2.602981827,2.60297212,2.611846289,2.615090559,2.602709407,2.576515688,2.533712697,2.475724528,2.419434204,2.355797611,2.258233718,2.121022114,1.960917604,1.79339476,1.643577458,1.52763208,1.456706771,1.418175152,1.388287781,1.353523048,1.319338699,1.282650394,1.245064785,1.209682364,1.178288353,1.147549943,1.117473924,1.086952795,1.057570381,1.02767609,0.994782258,0.957905014,1
