Country Name,Country Code,Series Name,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Finland,FIN,"Population, total",4429634,4461005,4491443,4523309,4548543,4563732,4580869,4605744,4626469,4623785,4606307,4612124,4639657,4666081,4690574,4711440,4725664,4738902,4752528,4764690,4779535,4799964,4826933,4855787,4881803,4902206,4918154,4932123,4946481,4964371,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5520314,..
France,FRA,GDP per capita (current US$),1334.690056,1428.045487,1578.284604,1744.64059,1909.541232,2038.162734,2186.474852,2343.104226,2536.085065,2752.094954,2857.252176,3169.034992,3854.556784,4969.763912,5328.241747,6690.57827,6866.818286,7532.527928,9264.777834,11179.63127,12713.36125,11104.97773,10496.92987,9993.422074,9419.697648,9763.32861,13540.24708,16302.4414,17679.997,17694.30535,21793.84265,21675.06425,23813.71184,22380.10396,23496.52332,26890.21988,26871.82902,24228.94235,24974.2722,24673.19897,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43011.2631,36638.18493,37037.37419,38812.16103,41631.09074,40493.92857,..
France,FRA,"GDP per capita, PPP (constant 2017 international $)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33893.59116,34059.58749,34432.67727,34068.27515,34742.15942,35346.15198,35718.89243,36424.31243,37592.63562,38679.31928,39922.58775,40419.30143,40582.07397,40627.14999,41470.31944,41843.45399,42570.49404,43333.78018,43202.14493,41745.48214,42349.54464,43069.33025,42995.59001,43021.34683,43227.45376,43553.39929,43914.48165,44826.50747,45561.00177,46183.52179,..
France,FRA,Refugee population by country or territory of origin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,14,46,60,62,60,74,41,92,110,112,286,79,99,97,80,90,92,94,92,84,90,50,54,59,50,..
France,FRA,Population growth (annual %),..,1.318705271,1.396482976,1.404835301,1.32496113,1.186164673,1.022959986,0.881321854,0.784131326,0.752072822,0.764887093,0.792887595,0.802168682,0.782254158,0.720038914,0.630853231,0.533756666,0.455765232,0.410681995,0.41103811,0.444063245,0.486056784,0.519369592,0.545606555,0.558726958,0.561154447,0.565740633,0.5714812,0.56459326,0.541862136,0.508686594,0.554158664,0.497240931,0.433292244,0.372231503,0.361249895,0.354082271,0.353750159,0.368597839,0.514456335,0.684929254,0.727786405,0.727231515,0.708779199,0.736313541,0.753800832,0.697207001,0.618697376,0.558854359,0.514489504,0.494035951,0.483658695,0.48400512,0.514784474,0.473703877,0.35556924,0.263868789,0.210010696,0.151733989,0.140234218,..
France,FRA,"Population ages 0-14, total",12290068,12506013,12632438,12686263,12715051,12742608,12801230,12831350,12849188,12867690,12893407,12912229,12953957,12996982,13004307,12954947,12907528,12789368,12629160,12478393,12367154,12219937,12152419,12128763,12091956,12016009,12007218,11930951,11822440,11736214,11694424,11648233,11643715,11660900,11665259,11646006,11616047,11582790,11544253,11519631,11516741,11560114,11589483,11611206,11641681,11684235,11757021,11830508,11902096,11964879,12015681,12080460,12138462,12188810,12218166,12213213,12174167,12109023,12024710,11938107,..
France,FRA,"Population, total",46621669,47240543,47904877,48582611,49230595,49818028,50330262,50775794,51175508,51561836,51957738,52371342,52793138,53207734,53592233,53931390,54220022,54467702,54691851,54917118,55161527,55430296,55718933,56023770,56337666,56654696,56976123,57302663,57627105,57940212,58235697,58559311,58851217,59106768,59327192,59541899,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66312067,66548272,66724104,66864379,66965912,67059887,..
French Polynesia,PYF,GDP per capita (current US$),..,..,..,..,..,1889.32329,2229.821901,2209.954189,2511.951349,2274.328561,2299.072349,2593.183341,2751.125082,3516.336872,4375.358369,5260.260414,5402.372156,5670.080187,6969.740806,8168.775087,8885.470569,8103.504627,7907.690584,7977.82806,8005.802085,8514.129364,12658.41322,13630.31744,14050.97001,13470.16501,15913.59048,16038.04919,17169.12403,17539.71383,16444.07868,18261.82686,17788.14905,15723.21331,16302.46058,16073.99879,14323.82082,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,"GDP per capita, PPP (constant 2017 international $)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,Refugee population by country or territory of origin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,Population growth (annual %),..,3.313021067,3.588827656,3.744675127,3.720497357,3.594519139,3.448073422,3.334133578,3.292369152,3.310129865,3.382509615,3.457345284,3.486277932,3.487119287,3.431078603,3.338588714,3.235882929,3.153034937,3.087151498,3.047147548,3.019677062,2.989421141,2.951829533,2.88749554,2.825033321,2.736115895,2.669842341,2.588085311,2.478358951,2.305059265,2.112653171,1.893370007,1.71257145,1.625834174,1.67361423,1.792454552,1.93060836,2.023275338,2.052266882,1.988560389,1.872537189,1.748335882,1.636390212,1.487444577,1.293130788,1.08320859,0.858044088,0.653391183,0.508750447,0.450772043,0.451751632,0.465410564,0.484446518,0.493209189,0.508088239,0.52089856,0.529854316,0.554953683,0.569178577,0.577415665,..
French Polynesia,PYF,"Population ages 0-14, total",33685,34950,36761,38924,41068,42963,44490,45909,47336,48869,50485,51852,52979,53989,55006,56071,57085,58198,59336,60366,61204,62201,62981,63554,64054,64631,65650,66837,68199,69557,70748,71993,72849,73450,74026,74694,75103,75753,76403,76748,76648,76367,75686,74753,73785,72860,71694,70672,69744,68817,67892,67111,66177,65274,64688,64512,63495,63192,63205,63018,..
French Polynesia,PYF,"Population, total",78076,80706,83655,86847,90139,93438,96716,99995,103342,106820,110495,114382,118440,122643,126924,131233,135549,139891,144277,148741,153301,157953,162685,167451,172249,177027,181817,186584,191266,195726,199905,203726,207245,210642,214197,218071,222322,226866,231570,236221,240686,244931,248972,252703,255992,258780,261010,262721,264061,265254,266455,267698,268998,270328,271705,273124,274575,276103,277679,279287,..
Gabon,GAB,GDP per capita (current US$),282.4137951,331.431868,357.5223632,298.4664095,410.9009521,424.6172585,452.6686608,490.0988528,520.4776613,550.726052,549.4566148,635.4958568,703.7854219,1160.310636,2432.824681,3332.004609,4550.046675,4154.274755,3452.620545,4275.257364,5892.15607,5186.370179,4736.046293,4325.270268,4423.531498,4038.063662,4004.054116,3755.488008,4267.819344,4532.165859,6268.95102,5537.009721,5578.005173,4252.028186,3963.868049,4570.592367,5116.146059,4667.168585,3831.780668,3888.898927,4125.716664,3989.556606,4121.958645,4922.376526,5729.296958,6888.627147,7214.914544,8447.078591,10212.81943,7690.052235,8849.3553,10809.64645,9813.477703,9683.57629,9663.42924,7384.71587,6984.451019,7230.396393,7956.627816,7667.366861,..
Gabon,GAB,"GDP per capita, PPP (constant 2017 international $)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18177.97751,18769.31207,17703.16593,17915.79295,18098.0618,18513.34131,18701.65646,19283.06226,19463.86592,17296.66679,16566.05812,16521.09222,16092.20227,16059.46432,15765.98055,15760.04294,14893.55478,15333.53276,14377.45515,13933.84247,14414.47765,14882.38657,15081.54467,15341.08568,15436.1793,15508.97172,15358.72081,15006.76409,14743.3895,14869.79142,..
Gabon,GAB,Refugee population by country or territory of origin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,17,22,27,22,17,27,27,27,24,34,37,50,78,96,116,132,145,167,180,189,180,179,174,167,216,342,440,..
Gabon,GAB,Population growth (annual %),..,0.967697899,1.079171921,1.223302619,1.403414003,1.600025063,1.811706696,1.99556191,2.090938588,2.078065914,1.999792426,1.899165178,1.829770504,1.816959425,1.880051749,1.995577337,2.118743395,2.220839942,2.312699726,2.385924802,2.444523431,2.497437798,2.550008052,2.601066151,2.649830091,2.695015464,2.735753948,2.763537168,2.776401352,2.770704848,2.752363979,2.731733369,2.709073344,2.676756494,2.633268158,2.585428956,2.548842404,2.518261818,2.485462581,2.447536038,2.414870179,2.384559664,2.380961999,2.426096691,2.531562987,2.678687342,2.808209914,2.92318367,3.073677791,3.264323666,3.458586132,3.657047821,3.788513401,3.779180691,3.606514936,3.335098786,3.043395155,2.796855564,2.602954061,2.484089207,..
Gabon,GAB,"Population ages 0-14, total",155266,158379,161507,164803,168463,172626,178037,183754,189724,195783,201814,209700,217211,224593,232156,240096,248741,257712,266941,276292,285704,295902,306068,316302,326766,337533,349202,360952,372777,384625,396415,408798,421002,432927,444393,455278,466070,476246,485871,495036,503818,511999,519984,528157,537052,547112,555710,565656,577429,591461,607967,625221,644380,665157,686592,707650,734653,760312,784680,807755,..
Gabon,GAB,"Population, total",500928,505799,511287,517580,524895,533361,543112,554059,565766,577646,589314,600613,611704,622920,634742,647536,661402,676255,692077,708788,726328,744696,763930,784061,805115,827108,850048,873867,898469,923711,949488,975783,1002579,1029778,1057255,1084946,1112955,1141338,1170061,1199052,1228360,1258003,1288315,1319953,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,1947686,2007873,2064823,2119275,2172579,..
