Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Paraguay,PRY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5391.603019,5621.028624,5701.087785,5975.69808,6275.548403,6685.601123,6758.412681,7008.228441,6939.563346,6799.148437,6653.981914,6612.483959,6589.97221,6876.798505,7223.356771,7485.08178,7960.499552,8495.095926,9085.540163,9008.712397,9993.03297,10490.93554,10022.12546,11086.74562,11425.66114,11471.49423,12029.96623,12594.34143,13153.16003,13210.30791,1
Peru,PER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3361.406815,3481.079936,3472.639704,3670.785997,4132.378536,4448.21201,4570.917225,4861.12249,4811.261923,4873.864819,5043.267181,5120.06957,5423.64343,5697.430252,6084.895398,6610.890519,7262.257826,8026.609755,8857.865101,8951.015022,9730.423115,10476.7949,10767.67806,11295.96289,11510.28385,11572.32269,12013.37894,12506.53017,13084.00103,13380.36442,1
Philippines,PHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2665.120307,2671.98528,2676.088743,2731.357367,2844.302265,2969.972035,3128.628438,3272.929774,3218.357198,3292.517024,3439.538853,3545.733964,3657.970447,3835.916705,4115.768911,4370.373938,4657.708791,5008.201407,5239.727054,5268.495155,5626.281401,5865.343674,6296.827679,6614.683925,6960.900647,7186.768858,7703.753729,8120.842309,8717.047981,9277.374369,1
Poland,POL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6173.862412,5913.854896,6181.768898,6548.118895,7027.077981,7662.771571,8250.350074,8920.160547,9471.41188,10022.39536,10655.42549,11102.08351,11781.05635,12257.33485,13341.15827,13895.85339,15139.49933,16786.66424,18310.35778,19260.9242,21064.08518,22850.63885,23833.2097,24719.24751,25612.25783,26856.28883,28283.70144,30152.74157,31834.4091,34217.71571,1
Portugal,PRT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11758.36265,12716.27751,13157.97798,13178.38775,13553.13875,14380.07888,14894.97383,15783.37957,16686.73942,17718.15157,18883.74321,19533.24082,20356.6473,20828.32592,21458.37186,22725.27749,24652.94997,25706.38008,26665.8373,26484.36829,27280.16586,26769.51189,26438.0163,27936.03966,28742.44038,29668.8592,31604.54631,33086.09677,34340.71335,36470.70677,1
Puerto Rico,PRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13423.48565,14097.14655,14979.47349,15912.01549,16775.5406,17741.76518,18278.41787,19320.60802,20500.48841,21807.87374,22961.29087,24893.0168,25485.62659,25956.53488,28981.39847,29332.65213,29920.8258,30545.67416,30745.41586,30541.06419,30925.40083,31824.15484,32582.62241,33172.67126,33682.85003,34016.02235,34346.86733,34363.74599,34921.13875,35948.19196,1
Qatar,QAT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96822.9534,99035.42244,103476.988,102758.2345,113857.3559,109856.1953,120837.3512,122883.5489,125011.137,122424.1726,132048.1337,139358.3543,141634.9725,138230.1373,129068.8681,92968.09041,83102.48567,95058.46834,96732.66319,96490.98387,1
Romania,ROU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5270.649382,4786.389788,4506.804357,4690.497087,4986.266574,5419.109825,5735.258389,5562.197511,5544.238804,5596.468579,5850.29903,6521.439273,7162.320064,7551.723116,8982.148172,9602.126558,11542.67513,13685.89298,16782.20705,16647.85475,16979.0733,17907.66167,18931.65449,19797.26555,20623.26246,21631.49769,24165.75257,27191.66866,29213.84146,32297.30337,1
Russian Federation,RUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8027.845591,7857.906215,6862.462729,6419.51646,5734.413877,5613.280647,5517.85889,5699.947617,5465.056362,5914.326062,6825.391511,7361.363679,8037.474535,9254.537201,10226.76615,11822.34693,14912.23393,16648.24164,20163.60942,19389.94118,20490.12672,22798.67443,24303.47341,26073.87453,25761.64802,24085.32418,24125.39886,26005.97994,28763.51663,29181.36322,1
Rwanda,RWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,558.2357869,578.8799254,662.5413658,666.8718971,357.5612868,502.0854711,559.5139917,606.9301917,616.037031,605.1473749,633.918296,677.3888682,760.7722814,779.9258574,848.3433517,939.5198685,1033.517891,1113.910001,1229.085289,1281.102725,1355.539146,1457.122365,1495.911215,1550.288162,1714.572118,1813.750518,1891.834452,1975.252453,2137.850034,2318.48623,1
